epoch,train_loss,train_acc,val_loss,val_acc,cm_true_Actinic keratoses_pred_Actinic keratoses,cm_true_Basal cell carcinoma_pred_Actinic keratoses,cm_true_Benign keratosis-like lesions_pred_Actinic keratoses,cm_true_Dermatofibroma_pred_Actinic keratoses,cm_true_Melanocytic nevi_pred_Actinic keratoses,cm_true_Melanoma_pred_Actinic keratoses,cm_true_Squamous cell carcinoma_pred_Actinic keratoses,cm_true_Vascular lesions_pred_Actinic keratoses,cm_true_Actinic keratoses_pred_Basal cell carcinoma,cm_true_Basal cell carcinoma_pred_Basal cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Basal cell carcinoma,cm_true_Dermatofibroma_pred_Basal cell carcinoma,cm_true_Melanocytic nevi_pred_Basal cell carcinoma,cm_true_Melanoma_pred_Basal cell carcinoma,cm_true_Squamous cell carcinoma_pred_Basal cell carcinoma,cm_true_Vascular lesions_pred_Basal cell carcinoma,cm_true_Actinic keratoses_pred_Benign keratosis-like lesions,cm_true_Basal cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Benign keratosis-like lesions_pred_Benign keratosis-like lesions,cm_true_Dermatofibroma_pred_Benign keratosis-like lesions,cm_true_Melanocytic nevi_pred_Benign keratosis-like lesions,cm_true_Melanoma_pred_Benign keratosis-like lesions,cm_true_Squamous cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Vascular lesions_pred_Benign keratosis-like lesions,cm_true_Actinic keratoses_pred_Dermatofibroma,cm_true_Basal cell carcinoma_pred_Dermatofibroma,cm_true_Benign keratosis-like lesions_pred_Dermatofibroma,cm_true_Dermatofibroma_pred_Dermatofibroma,cm_true_Melanocytic nevi_pred_Dermatofibroma,cm_true_Melanoma_pred_Dermatofibroma,cm_true_Squamous cell carcinoma_pred_Dermatofibroma,cm_true_Vascular lesions_pred_Dermatofibroma,cm_true_Actinic keratoses_pred_Melanocytic nevi,cm_true_Basal cell carcinoma_pred_Melanocytic nevi,cm_true_Benign keratosis-like lesions_pred_Melanocytic nevi,cm_true_Dermatofibroma_pred_Melanocytic nevi,cm_true_Melanocytic nevi_pred_Melanocytic nevi,cm_true_Melanoma_pred_Melanocytic nevi,cm_true_Squamous cell carcinoma_pred_Melanocytic nevi,cm_true_Vascular lesions_pred_Melanocytic nevi,cm_true_Actinic keratoses_pred_Melanoma,cm_true_Basal cell carcinoma_pred_Melanoma,cm_true_Benign keratosis-like lesions_pred_Melanoma,cm_true_Dermatofibroma_pred_Melanoma,cm_true_Melanocytic nevi_pred_Melanoma,cm_true_Melanoma_pred_Melanoma,cm_true_Squamous cell carcinoma_pred_Melanoma,cm_true_Vascular lesions_pred_Melanoma,cm_true_Actinic keratoses_pred_Squamous cell carcinoma,cm_true_Basal cell carcinoma_pred_Squamous cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Squamous cell carcinoma,cm_true_Dermatofibroma_pred_Squamous cell carcinoma,cm_true_Melanocytic nevi_pred_Squamous cell carcinoma,cm_true_Melanoma_pred_Squamous cell carcinoma,cm_true_Squamous cell carcinoma_pred_Squamous cell carcinoma,cm_true_Vascular lesions_pred_Squamous cell carcinoma,cm_true_Actinic keratoses_pred_Vascular lesions,cm_true_Basal cell carcinoma_pred_Vascular lesions,cm_true_Benign keratosis-like lesions_pred_Vascular lesions,cm_true_Dermatofibroma_pred_Vascular lesions,cm_true_Melanocytic nevi_pred_Vascular lesions,cm_true_Melanoma_pred_Vascular lesions,cm_true_Squamous cell carcinoma_pred_Vascular lesions,cm_true_Vascular lesions_pred_Vascular lesions
11,1.130417494289191,0.650725496002369,0.9238821405721493,0.6761565836298933,48,46,22,1,9,16,19,1,9,211,12,2,34,18,13,4,15,29,154,1,101,68,8,0,1,6,8,14,15,9,3,0,2,8,31,2,1015,98,0,0,4,9,24,1,95,233,3,0,6,21,10,1,4,9,15,0,1,2,1,1,14,1,1,20
12,1.0886033073239754,0.6631132168591451,0.8874939487545138,0.6915776986951364,44,26,14,1,5,13,14,0,12,238,20,2,37,27,16,4,15,24,155,1,88,61,9,0,1,8,9,15,19,9,4,0,2,9,33,1,1026,101,0,0,4,8,21,1,91,236,3,0,7,15,8,1,2,2,14,0,1,4,2,1,19,3,2,21
13,1.0631339330656038,0.6722436087256934,0.9084750545288839,0.6812969553183076,42,32,15,1,7,14,14,0,11,223,11,2,35,22,14,4,19,30,168,1,106,74,9,0,2,8,7,15,21,9,2,0,2,5,18,1,989,80,0,0,4,7,26,1,109,245,2,0,5,24,15,1,4,6,20,0,1,3,2,1,16,2,1,21
14,1.0320473143948747,0.675747705063666,0.8734330011832945,0.6943455911427442,52,44,19,1,9,14,15,1,9,207,9,1,34,12,12,1,13,24,161,1,78,53,8,0,1,7,7,15,15,10,2,0,2,8,23,1,1007,82,0,0,4,12,27,1,125,271,4,0,4,27,14,2,4,8,20,0,1,3,2,1,15,2,1,23
15,1.0114109108159979,0.6803869312012635,0.8631213198612216,0.6994859628311586,53,35,21,1,9,18,15,0,8,218,8,2,32,12,10,2,15,23,171,1,92,67,10,0,0,7,6,15,14,10,3,0,2,7,22,0,1025,87,0,0,2,9,22,1,94,244,3,0,5,29,10,2,5,12,20,0,1,4,2,1,16,2,1,23
16,0.9863129647312789,0.6869015891817195,0.8308553621791577,0.7105575326215896,49,29,17,0,5,15,10,0,8,221,10,1,33,19,12,1,15,25,172,1,87,62,9,0,1,8,4,18,15,7,3,0,1,10,25,0,1054,103,1,0,3,4,16,0,73,233,1,0,8,29,14,2,4,10,26,0,1,6,4,1,16,3,0,24
17,0.9788601901262701,0.6897147369460073,0.854075834832676,0.701067615658363,54,44,18,0,8,18,12,1,5,201,6,0,28,12,9,1,13,27,179,1,93,70,11,0,4,10,8,19,21,11,3,0,2,9,19,0,1036,91,0,0,3,8,17,0,84,237,2,0,5,29,13,2,4,12,24,0,0,4,2,1,13,1,1,23
18,0.9370449673707647,0.6964761622742078,0.8394418385081632,0.7046263345195729,49,30,12,1,5,11,8,0,7,220,7,0,29,12,10,1,15,25,181,1,102,70,10,0,2,8,6,18,16,8,3,0,1,7,19,0,1000,80,0,0,5,9,21,0,115,262,2,0,7,29,15,2,6,8,28,0,0,4,1,1,14,1,1,24
19,0.9325666172832012,0.7015102161681966,0.8347006327034033,0.701067615658363,50,33,14,0,5,16,10,0,5,213,8,0,29,17,9,1,15,23,174,1,94,53,8,0,2,11,6,19,22,9,3,0,1,8,18,0,998,81,0,0,4,6,21,0,118,265,2,0,9,35,19,2,6,10,30,0,0,3,2,1,15,1,0,24
20,0.9110867148981362,0.7047181916888757,0.7917840804517293,0.7204428627916173,47,19,12,0,3,12,12,0,13,251,11,1,36,23,12,1,14,21,175,1,81,49,10,0,4,9,5,20,19,9,3,0,1,6,17,0,1011,85,1,0,5,4,28,0,120,273,2,0,2,18,12,0,2,0,21,0,0,4,2,1,15,1,1,24
21,0.8944278199303987,0.7097028921133156,0.800407448614855,0.7125345986555951,46,26,11,0,4,12,7,0,6,227,8,1,32,13,10,2,18,25,180,1,88,63,12,0,3,8,6,18,19,9,3,0,1,9,17,0,1017,87,0,0,5,8,26,0,108,264,2,0,7,26,13,2,6,3,27,0,0,3,1,1,13,1,1,23
22,0.8791606943352402,0.7105912545651959,0.7959837623974607,0.7204428627916173,47,22,13,0,5,13,10,0,11,250,12,1,35,19,11,2,15,16,171,1,75,45,9,0,3,9,7,20,20,9,2,0,1,6,17,0,999,79,0,0,4,6,26,0,136,284,2,0,5,21,14,0,5,2,28,0,0,2,2,1,12,1,0,23
23,0.8639484590206079,0.7174513868324943,0.789187996430612,0.723210755239225,53,28,14,0,8,16,12,0,5,225,6,0,26,16,9,1,15,20,179,0,78,50,8,0,3,15,9,22,24,10,3,0,1,7,18,0,1034,92,0,0,4,8,21,0,101,264,2,0,5,25,13,0,4,3,28,0,0,4,2,1,12,1,0,24
24,0.8491556515784622,0.7188826374494127,0.7715060729349306,0.7228153420324239,50,29,15,0,6,14,10,0,4,228,8,0,30,18,11,1,16,18,173,1,76,39,8,0,2,12,5,21,25,8,2,0,1,10,20,0,1028,93,0,0,4,5,22,0,105,275,2,0,8,25,16,0,5,4,29,0,1,5,3,1,12,1,0,24
25,0.8339823301756162,0.7252985884907709,0.7447552720976706,0.7378410438908659,49,26,11,0,5,12,9,0,6,242,11,1,32,18,8,2,16,18,176,1,75,47,7,0,2,9,3,19,15,6,2,0,1,7,21,0,1054,95,1,0,4,6,23,0,92,270,2,0,8,23,17,1,7,4,33,0,0,1,0,1,7,0,0,23
26,0.8181153769987191,0.7309742374888955,0.7760477769853287,0.7216291024120206,48,29,9,0,3,7,9,0,4,214,6,0,24,8,6,0,18,25,191,1,93,55,11,0,2,9,2,21,17,4,2,0,1,8,17,0,1003,83,1,0,4,11,22,0,131,293,2,1,9,34,14,0,6,2,31,0,0,2,1,1,10,0,0,24
27,0.8120421293695286,0.7303326423847597,0.7290787529737971,0.7406089363384737,48,20,9,0,3,9,8,0,8,253,10,0,39,20,11,1,15,17,178,1,66,42,7,0,2,11,6,22,22,5,3,0,1,7,21,0,1040,96,0,0,5,5,20,0,102,277,2,0,7,17,16,0,6,2,31,0,0,2,2,0,9,1,0,24
28,0.7963391941821407,0.7352186358701017,0.7450768556659426,0.7362593910636616,57,32,16,0,7,15,13,0,4,244,7,0,35,17,8,1,13,17,181,1,76,45,9,0,2,8,6,22,23,8,3,0,1,9,18,0,1032,91,0,0,4,5,20,0,102,275,2,0,5,14,12,0,3,1,27,0,0,3,2,0,9,0,0,24
29,0.7861028703264418,0.7345276872964169,0.7334402249223774,0.7374456306840649,55,26,12,0,4,13,12,0,6,247,9,0,35,19,10,1,13,17,183,0,79,50,8,0,2,11,5,23,18,9,3,0,1,7,21,0,1043,95,0,0,4,5,18,0,96,264,2,0,5,16,12,0,3,1,26,0,0,3,2,0,9,1,1,24
30,0.7742880217230175,0.7375382489389004,0.7464176994413668,0.7327006722024516,52,23,10,0,4,12,11,0,6,242,6,0,30,14,9,1,17,22,192,1,86,57,10,0,2,7,4,22,17,4,2,0,1,8,17,0,1016,86,0,0,3,7,16,0,120,277,2,0,5,20,15,0,3,1,28,0,0,3,2,0,11,1,0,24
31,0.7603170713765542,0.7444477346757477,0.7357412420593265,0.7330960854092526,55,24,14,0,5,16,10,0,5,245,8,0,36,20,8,1,12,18,176,1,71,42,8,0,2,10,5,22,22,10,3,0,1,7,20,0,1030,89,0,0,4,5,21,0,111,271,2,0,7,21,17,0,6,4,31,0,0,2,1,0,6,0,0,24
32,0.7514289717703202,0.7432632514065739,0.7076358928917047,0.7445630684064848,53,26,10,0,4,10,11,0,6,233,8,0,33,9,7,0,13,18,175,0,63,33,7,0,2,9,5,23,14,3,1,0,1,10,22,0,1041,95,1,0,5,11,24,0,117,300,2,0,6,23,17,0,5,2,33,0,0,2,1,0,10,0,0,25
33,0.7396527791640128,0.7489882538742474,0.689681375831566,0.7540529853697113,53,25,10,0,4,10,9,0,4,238,7,0,28,11,8,0,15,18,178,1,59,40,9,0,3,10,5,22,18,5,1,0,1,10,26,0,1081,107,1,0,3,6,21,0,80,278,2,0,7,22,14,0,7,1,32,0,0,3,1,0,10,0,0,25
34,0.7319679470077729,0.7515052808212417,0.7221991136086793,0.7421905891656781,51,24,10,0,3,12,8,0,4,240,4,0,29,10,7,0,15,19,191,1,84,54,9,0,2,8,2,22,16,5,1,0,1,8,16,0,1034,87,1,0,3,6,20,0,106,280,2,0,10,25,17,0,9,4,34,0,0,2,2,0,6,0,0,25
35,0.719492967515469,0.7527884710295134,0.6897960878015978,0.7548438117833136,55,25,9,0,4,6,10,0,4,249,7,0,28,12,9,0,16,21,184,1,67,49,10,0,2,8,4,22,13,2,1,0,1,7,20,0,1062,99,1,0,3,4,22,0,100,283,2,0,5,15,15,0,5,1,29,0,0,3,1,0,8,0,0,25
36,0.7148521228949629,0.7537755404204916,0.7174305373993538,0.7449584816132859,55,26,11,0,5,12,10,0,4,252,7,0,31,15,9,0,15,16,193,1,91,54,9,0,2,8,4,22,15,3,0,0,1,6,15,0,1025,86,1,0,3,4,18,0,111,281,2,0,6,17,13,0,3,1,31,0,0,3,1,0,6,0,0,25
37,0.7023680144682851,0.7592044220708716,0.7090900485761413,0.7508896797153025,59,29,18,0,7,17,12,0,3,247,6,0,33,13,9,0,13,16,188,0,82,45,7,0,1,8,3,23,19,5,0,0,1,6,15,0,1047,91,1,0,3,5,16,0,86,279,2,0,6,19,15,0,5,2,31,0,0,2,1,0,8,0,0,25
38,0.6850288957305927,0.7647320106603495,0.6778322008522003,0.7587979438513246,56,25,10,0,4,7,10,0,4,243,5,0,25,10,8,0,14,21,191,1,80,46,11,0,1,7,2,22,12,2,1,0,1,9,20,0,1066,99,1,0,4,8,20,0,92,287,2,0,6,17,13,0,3,1,29,0,0,2,1,0,5,0,0,25
39,0.6784162684435223,0.7648307175994472,0.7118358328708692,0.749308026888098,57,25,12,0,5,10,11,0,2,241,6,0,24,10,7,0,14,21,191,1,82,48,9,0,2,9,3,22,18,3,1,0,1,9,17,0,1034,85,1,0,4,7,19,0,111,294,2,0,6,18,13,0,4,2,31,0,0,2,1,0,9,0,0,25
40,0.6723155270254032,0.7646333037212516,0.6911718213997748,0.7572162910241202,63,36,15,0,4,13,12,0,2,233,6,0,26,10,5,0,10,17,189,0,69,46,7,0,1,9,2,23,16,3,1,0,1,10,18,0,1070,100,1,0,4,6,18,0,88,278,2,0,5,19,13,0,8,2,34,0,0,2,1,0,6,0,0,25
41,0.6634289369262132,0.7675945118941861,0.6955475863931018,0.7568208778173191,59,32,10,0,4,8,13,0,3,231,5,0,25,10,7,0,15,26,204,0,93,53,13,0,2,8,2,23,14,3,1,0,1,10,16,0,1072,102,1,0,2,9,15,0,73,275,2,0,4,14,9,0,2,1,25,0,0,2,1,0,4,0,0,25
42,0.6557735371748218,0.7681867535287731,0.6601734219208071,0.763938315539739,57,26,12,0,4,11,9,0,5,252,7,0,30,11,9,0,11,15,186,0,55,36,8,0,1,9,3,23,13,2,1,0,1,9,21,0,1069,102,1,0,5,5,21,0,104,289,3,0,6,13,11,0,6,1,31,0,0,3,1,0,6,0,0,25
43,0.6473109385372091,0.7743559372223867,0.6809158111429346,0.7595887702649269,55,26,8,0,4,6,7,0,4,240,6,0,28,11,9,0,13,20,189,1,67,34,8,0,1,7,1,22,13,2,0,0,1,9,16,0,1047,87,1,0,6,9,24,0,117,309,3,0,6,20,17,0,7,3,34,0,0,1,1,0,4,0,0,25
44,0.6452695381471064,0.7755897739611095,0.6707520012759606,0.7635429023329379,60,32,13,1,4,10,13,0,4,246,5,0,25,14,8,0,12,19,203,0,79,48,8,0,1,7,1,22,10,2,1,0,1,9,15,0,1071,101,1,0,4,4,13,0,88,275,2,0,4,12,11,0,6,2,29,0,0,3,1,0,4,0,0,25
45,0.6299286242866784,0.7773664988648702,0.6502078597302398,0.7671016211941479,55,27,11,0,4,8,7,0,5,242,5,0,24,14,9,0,16,21,195,0,62,46,10,0,1,7,1,23,11,2,1,0,1,12,21,0,1098,110,1,0,3,7,17,0,78,270,2,0,5,12,11,0,6,1,32,0,0,4,1,0,4,1,0,25
46,0.6133061652393982,0.7804264139769026,0.674180620175758,0.7603795966785291,53,23,12,0,4,8,9,0,7,255,7,0,29,15,9,0,13,13,193,0,65,42,8,0,1,8,6,23,20,5,2,0,1,8,12,0,1058,94,0,0,4,6,17,0,100,284,2,0,7,17,14,0,6,4,32,0,0,2,1,0,5,0,0,25
47,0.6168629099869467,0.7790938702990821,0.6627472750680538,0.7698695136417556,60,31,11,0,4,10,10,0,4,244,6,0,25,11,9,0,13,18,196,0,65,41,8,0,1,8,2,23,13,3,1,0,1,10,17,0,1081,98,1,0,3,5,18,0,89,288,3,0,4,13,11,0,6,1,30,0,0,3,1,0,4,0,0,25
48,0.5995349293590686,0.7848682262363044,0.6465807182809353,0.7706603400553579,57,22,13,1,4,10,13,0,7,262,7,1,33,14,7,0,15,16,197,0,65,45,12,0,0,7,1,21,10,1,1,0,1,8,15,0,1076,97,1,0,2,5,18,0,91,285,2,0,4,10,10,0,3,0,26,0,0,2,1,0,5,0,0,25
49,0.597384195197118,0.7876813740005922,0.6506539271218638,0.7698695136417556,50,21,5,0,4,7,4,0,7,246,5,0,25,8,5,0,16,19,199,0,54,38,10,0,2,7,2,23,14,1,1,0,1,10,15,0,1072,96,1,0,3,9,20,0,107,295,4,0,7,17,15,0,7,7,37,0,0,3,1,0,4,0,0,25
50,0.5901055942701277,0.7903464613562333,0.6313677106174899,0.7702649268485567,57,21,11,0,4,7,9,0,6,257,7,0,28,10,8,0,9,13,182,0,47,35,7,0,2,7,4,23,14,3,1,0,1,10,21,0,1077,101,1,0,6,7,25,0,108,294,3,0,5,12,11,0,4,2,33,0,0,5,1,0,5,0,0,25
51,0.5709334342764285,0.7917777119731517,0.6494123980391162,0.7742190589165678,57,23,8,0,4,8,11,0,4,247,4,0,26,10,7,0,13,21,209,0,73,46,10,0,1,8,2,23,12,1,1,0,1,8,13,0,1080,98,0,0,4,5,14,0,80,286,2,0,6,17,11,0,5,3,31,0,0,3,1,0,7,0,0,25
52,0.571034219605765,0.7919257723817984,0.6696759828315888,0.7587979438513246,58,24,10,1,4,7,9,0,6,247,5,0,31,11,7,0,12,19,200,0,76,43,6,0,0,7,2,22,14,1,1,0,1,8,11,0,1034,90,0,0,2,6,20,0,117,296,2,0,7,15,12,0,5,4,37,0,0,6,2,0,6,0,0,25
53,0.5602307048047189,0.7964662915802981,0.62872406656785,0.77500988533017,56,22,6,1,4,6,8,0,7,255,7,1,28,13,8,0,15,18,202,0,63,38,11,0,0,7,2,21,8,2,1,0,1,8,14,0,1079,98,1,0,3,8,21,0,97,293,4,0,4,11,9,0,3,2,29,0,0,3,1,0,5,0,0,25
54,0.5618342195813383,0.7977988352581187,0.6383172628635849,0.7706603400553579,52,22,8,0,4,9,8,0,7,252,4,0,30,10,8,0,16,20,207,0,70,40,13,0,0,7,1,23,12,2,1,0,1,8,15,0,1073,100,0,0,3,7,16,0,88,287,2,0,7,13,10,0,4,4,30,0,0,3,1,0,6,0,0,25
55,0.5472610425110273,0.8032277169084987,0.6197820390140458,0.7773823645709766,59,26,10,0,4,7,7,0,6,252,5,1,24,7,8,0,12,17,200,0,55,35,9,0,0,4,1,22,8,1,1,0,1,9,15,0,1070,92,1,0,4,10,20,0,118,306,4,0,4,12,10,0,4,4,32,0,0,2,1,0,4,0,0,25
