epoch,train_loss,train_acc,val_loss,val_acc,cm_true_Actinic keratoses_pred_Actinic keratoses,cm_true_Basal cell carcinoma_pred_Actinic keratoses,cm_true_Benign keratosis-like lesions_pred_Actinic keratoses,cm_true_Dermatofibroma_pred_Actinic keratoses,cm_true_Melanocytic nevi_pred_Actinic keratoses,cm_true_Melanoma_pred_Actinic keratoses,cm_true_Squamous cell carcinoma_pred_Actinic keratoses,cm_true_Vascular lesions_pred_Actinic keratoses,cm_true_Actinic keratoses_pred_Basal cell carcinoma,cm_true_Basal cell carcinoma_pred_Basal cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Basal cell carcinoma,cm_true_Dermatofibroma_pred_Basal cell carcinoma,cm_true_Melanocytic nevi_pred_Basal cell carcinoma,cm_true_Melanoma_pred_Basal cell carcinoma,cm_true_Squamous cell carcinoma_pred_Basal cell carcinoma,cm_true_Vascular lesions_pred_Basal cell carcinoma,cm_true_Actinic keratoses_pred_Benign keratosis-like lesions,cm_true_Basal cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Benign keratosis-like lesions_pred_Benign keratosis-like lesions,cm_true_Dermatofibroma_pred_Benign keratosis-like lesions,cm_true_Melanocytic nevi_pred_Benign keratosis-like lesions,cm_true_Melanoma_pred_Benign keratosis-like lesions,cm_true_Squamous cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Vascular lesions_pred_Benign keratosis-like lesions,cm_true_Actinic keratoses_pred_Dermatofibroma,cm_true_Basal cell carcinoma_pred_Dermatofibroma,cm_true_Benign keratosis-like lesions_pred_Dermatofibroma,cm_true_Dermatofibroma_pred_Dermatofibroma,cm_true_Melanocytic nevi_pred_Dermatofibroma,cm_true_Melanoma_pred_Dermatofibroma,cm_true_Squamous cell carcinoma_pred_Dermatofibroma,cm_true_Vascular lesions_pred_Dermatofibroma,cm_true_Actinic keratoses_pred_Melanocytic nevi,cm_true_Basal cell carcinoma_pred_Melanocytic nevi,cm_true_Benign keratosis-like lesions_pred_Melanocytic nevi,cm_true_Dermatofibroma_pred_Melanocytic nevi,cm_true_Melanocytic nevi_pred_Melanocytic nevi,cm_true_Melanoma_pred_Melanocytic nevi,cm_true_Squamous cell carcinoma_pred_Melanocytic nevi,cm_true_Vascular lesions_pred_Melanocytic nevi,cm_true_Actinic keratoses_pred_Melanoma,cm_true_Basal cell carcinoma_pred_Melanoma,cm_true_Benign keratosis-like lesions_pred_Melanoma,cm_true_Dermatofibroma_pred_Melanoma,cm_true_Melanocytic nevi_pred_Melanoma,cm_true_Melanoma_pred_Melanoma,cm_true_Squamous cell carcinoma_pred_Melanoma,cm_true_Vascular lesions_pred_Melanoma,cm_true_Actinic keratoses_pred_Squamous cell carcinoma,cm_true_Basal cell carcinoma_pred_Squamous cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Squamous cell carcinoma,cm_true_Dermatofibroma_pred_Squamous cell carcinoma,cm_true_Melanocytic nevi_pred_Squamous cell carcinoma,cm_true_Melanoma_pred_Squamous cell carcinoma,cm_true_Squamous cell carcinoma_pred_Squamous cell carcinoma,cm_true_Vascular lesions_pred_Squamous cell carcinoma,cm_true_Actinic keratoses_pred_Vascular lesions,cm_true_Basal cell carcinoma_pred_Vascular lesions,cm_true_Benign keratosis-like lesions_pred_Vascular lesions,cm_true_Dermatofibroma_pred_Vascular lesions,cm_true_Melanocytic nevi_pred_Vascular lesions,cm_true_Melanoma_pred_Vascular lesions,cm_true_Squamous cell carcinoma_pred_Vascular lesions,cm_true_Vascular lesions_pred_Vascular lesions
13,0.3002322072386793,0.8712367979468957,0.4981825158659909,0.8295769078687228,51,8,5,1,4,5,4,0,9,275,5,0,15,5,5,1,19,12,209,0,30,24,11,0,0,2,0,21,3,1,1,0,1,12,20,1,1174,108,1,0,3,9,12,0,59,307,3,0,3,11,9,0,0,2,37,0,0,3,2,0,2,0,0,24
14,0.2650606767333733,0.8847102951337479,0.5594465167041811,0.7991300909450376,46,14,3,1,3,2,4,0,6,250,6,0,17,5,3,1,26,20,226,0,84,43,11,0,0,2,0,21,2,0,1,0,0,14,14,1,1110,94,0,0,1,14,7,0,69,304,3,0,7,17,5,0,0,4,40,0,0,1,1,0,2,0,0,24
15,0.2326342659665862,0.896061593129997,0.5878286357260518,0.7979438513246342,56,8,4,1,4,5,5,0,9,284,5,0,22,8,7,1,19,20,229,0,109,55,16,0,0,3,0,21,6,0,2,0,0,6,10,1,1058,67,0,0,1,5,10,0,86,316,2,0,1,4,4,0,0,1,30,0,0,2,0,0,2,0,0,24
16,0.2093245285222945,0.9023294837627084,0.4967113431335415,0.8323448003163305,58,7,4,1,4,5,3,0,10,294,9,0,23,7,5,1,11,10,216,0,51,32,11,0,1,3,0,21,3,1,1,0,0,4,15,1,1147,99,1,0,1,4,10,0,56,305,1,0,5,8,7,0,2,3,40,0,0,2,1,0,1,0,0,24
17,0.1966949056232957,0.9119040568551968,0.5071292772238059,0.8256227758007118,64,15,9,1,4,4,6,0,5,270,5,0,10,5,2,1,11,12,218,0,56,30,13,0,0,3,0,21,1,0,1,0,0,10,14,1,1128,85,0,0,5,12,13,0,87,328,5,0,1,7,3,0,0,0,35,0,0,3,0,0,1,0,0,24
18,0.1752777496886342,0.921083802191294,0.5521219791929186,0.8189007512850929,65,13,11,1,6,9,4,0,8,287,9,0,28,9,2,1,4,5,208,0,73,29,4,0,0,2,0,21,3,0,1,0,0,5,8,1,1099,73,0,0,4,7,14,0,64,316,0,0,5,12,12,0,13,16,51,0,0,1,0,0,1,0,0,24
19,0.161368541561259,0.9240943638337776,0.5310659937143691,0.8244365361803084,55,13,4,1,5,7,6,0,7,292,7,0,27,7,4,1,20,12,225,0,61,36,11,0,0,2,0,21,1,0,1,0,0,5,11,1,1110,83,0,0,1,3,10,0,83,319,1,0,3,5,5,0,0,0,39,0,0,0,0,0,0,0,0,24
20,0.1406584952253484,0.9340144112131082,0.489248839921965,0.8426255436931593,60,8,6,1,4,5,2,0,7,281,6,0,15,6,3,1,9,11,209,0,34,16,6,0,0,2,0,21,4,1,1,0,1,12,19,1,1173,104,3,0,3,7,15,0,54,317,1,0,6,10,6,0,2,3,46,0,0,1,1,0,1,0,0,24
21,0.1348847674025076,0.937370447142434,0.5040786576618619,0.830367734282325,63,12,4,1,4,4,2,0,8,286,5,0,19,6,2,1,5,10,219,0,60,31,9,0,0,3,0,21,2,0,1,0,1,7,14,1,1097,62,1,1,4,5,12,0,103,345,1,0,5,9,8,0,2,4,46,0,0,0,0,0,0,0,0,23
22,0.1162795410187704,0.9432435100187544,0.4679503099668436,0.8485567417951759,52,4,5,1,4,3,3,0,13,290,8,0,15,5,1,1,12,11,211,0,30,20,7,0,0,3,0,21,2,0,1,0,1,10,16,1,1169,91,2,0,5,4,10,0,65,331,0,0,3,9,11,0,1,2,48,0,0,1,1,0,1,0,0,24
23,0.1052930044194505,0.9518310137202646,0.4733343304457315,0.8465796757611704,57,11,7,1,4,3,6,0,6,280,4,0,9,4,1,1,13,11,212,0,34,20,7,0,0,3,0,21,3,0,1,0,2,9,19,1,1179,99,2,0,6,8,14,0,56,325,2,0,2,9,6,0,1,1,43,0,0,1,0,0,1,0,0,24
24,0.1008586692146458,0.9519790741289113,0.4973516642230538,0.8457888493475683,45,3,3,1,3,1,1,0,9,280,4,0,9,4,2,1,25,15,225,0,44,32,12,0,0,3,0,21,1,0,1,0,1,11,14,1,1180,93,2,0,2,6,11,0,49,320,0,0,4,12,5,0,0,2,44,0,0,2,0,0,1,0,0,24
25,0.08928720539418,0.9583950251702694,0.4878608112300044,0.8461842625543693,63,10,5,1,3,3,4,0,6,283,5,0,9,4,2,1,5,8,217,0,42,15,11,0,0,2,0,21,0,0,0,0,2,10,13,1,1133,73,2,0,8,9,18,0,99,357,1,0,2,8,4,0,0,0,42,0,0,2,0,0,1,0,0,24
26,0.0834038946507859,0.9593820945612476,0.4921857829895437,0.8481613285883749,61,11,5,1,3,4,3,0,4,266,3,0,5,2,2,1,12,17,223,0,44,24,14,0,0,1,0,21,0,0,0,0,3,16,17,1,1174,85,2,0,5,11,11,0,59,336,1,0,1,9,2,0,0,1,40,0,0,1,1,0,2,0,0,24
27,0.0757884939387089,0.9654032178462146,0.5172176383960124,0.8493475682087782,54,7,3,1,3,2,3,0,6,285,3,0,7,4,3,1,21,23,231,0,49,33,18,0,0,1,0,21,0,0,2,0,1,10,12,1,1162,74,1,0,4,4,12,0,65,337,1,0,0,1,1,0,0,1,34,0,0,1,0,0,1,1,0,24
28,0.0619444020579981,0.9682657190800512,0.4659372272888532,0.8529062870699882,61,11,5,1,4,1,2,0,5,288,5,0,9,4,1,1,7,8,216,0,29,21,6,0,1,2,0,21,0,0,0,0,2,10,14,1,1139,64,3,0,4,4,14,0,102,359,1,0,6,9,8,0,3,2,49,0,0,0,0,0,1,1,0,24
29,0.0655359140159453,0.970684039087948,0.4649275868376897,0.8548833531039937,53,3,3,1,4,4,2,0,11,302,8,0,16,6,5,1,10,6,219,0,28,19,12,0,1,1,0,21,1,0,2,0,1,10,15,1,1161,75,2,0,6,6,13,0,72,345,2,0,4,3,3,0,0,2,37,0,0,1,1,0,5,1,0,24
30,0.05956498236936208,0.9742374888954694,0.532907528530058,0.8493475682087782,61,8,3,1,3,3,2,0,6,297,4,0,15,7,4,1,14,10,233,0,75,42,14,0,0,1,0,21,0,0,1,0,1,6,10,1,1140,65,1,0,1,4,6,0,50,332,0,0,3,4,5,0,0,2,40,0,0,2,1,0,4,1,0,24
