epoch,train_loss,val_loss
1,1.296219280224752,1.211607991612066
2,1.1472945451712917,1.0719827504768915
3,1.0325295559605234,0.9718362876623221
4,0.9441600729218712,0.8982144468572594
5,0.8800265110618046,0.8435227635256525
6,0.8266891898954507,0.7993862303691968
7,0.7759247325907195,0.7634050356111493
8,0.7410683355142211,0.7332860174835223
9,0.7044159241624462,0.7079149557225267
10,0.6737719636869012,0.6859216094724083
11,0.650472238308326,0.6673066817568715
12,0.6263045488393691,0.6512808997718748
