epoch,train_loss,val_loss
1,1.3365157346783827,1.2592934766462454
2,1.1949548844982378,1.1258453463037386
3,1.085566524444522,1.0257394114423053
4,0.9921221716737432,0.9473821362189598
5,0.9299953912490801,0.8857305686244761
6,0.8713124704883407,0.8357107286257157
7,0.8184638133513564,0.793523899789571
8,0.773659598414348,0.7584202024671767
9,0.7402791456366183,0.7281320176609141
10,0.7007294532612839,0.7023520713363443
11,0.670747830076804,0.6802220568915232
12,0.6433459841720256,0.6612634853488987
13,0.6199491891288155,0.6452687341924617
14,0.5933569111977945,0.6313523010285582
15,0.5743384658496056,0.6197002133912086
16,0.5610588572595047,0.6095941554137774
17,0.5465350789851303,0.6010991873925927
18,0.5292844368620505,0.5933484672180227
19,0.5213653381703202,0.5867098893700686
20,0.5070197458046467,0.5811076323332736
21,0.4997566331793132,0.5761335177495104
22,0.4887758876902955,0.5718992699177758
23,0.47869915150781805,0.5682623004573945
24,0.4663548053352304,0.5653130282003825
25,0.46143922008233507,0.5628296126014586
26,0.4536758890398845,0.5602776898655226
27,0.44768214540530515,0.5575391985579129
28,0.44105136465542694,0.5556600365821625
29,0.43500671528155493,0.5541952450127411
30,0.4312422318256639,0.5526865440519868
