epoch,train_loss,val_loss
1,0.9209118956651612,0.8666668886156033
2,0.8003946430014076,0.7801756399004957
3,0.7136526240635078,0.7208544574928359
4,0.6484405765433665,0.6786747454607048
5,0.6041900756304738,0.6492581626510092
6,0.5622094412827089,0.6273359843938895
7,0.5289931496513901,0.6113691886171799
8,0.5024487377566254,0.5999809919067314
9,0.4810662775711085,0.5927301397103008
10,0.4629161003758271,0.5873569198020506
11,0.447876618970077,0.5813776262667208
12,0.433278190170056,0.5784378538210904
13,0.42507369548903084,0.5770796216750343
14,0.4121057241272566,0.5748191212372801
15,0.4068747780751575,0.5706419386426278
16,0.39510368156375447,0.571267563665559
17,0.3917655895668478,0.57123905839822
18,0.3832172619932885,0.5698511826869479
19,0.379305770667587,0.5692846988820898
20,0.37189778522746886,0.5709746060764049
