epoch,train_loss,train_acc,val_loss,val_acc,cm_true_Actinic keratoses_pred_Actinic keratoses,cm_true_Basal cell carcinoma_pred_Actinic keratoses,cm_true_Benign keratosis-like lesions_pred_Actinic keratoses,cm_true_Dermatofibroma_pred_Actinic keratoses,cm_true_Melanocytic nevi_pred_Actinic keratoses,cm_true_Melanoma_pred_Actinic keratoses,cm_true_Squamous cell carcinoma_pred_Actinic keratoses,cm_true_Vascular lesions_pred_Actinic keratoses,cm_true_Actinic keratoses_pred_Basal cell carcinoma,cm_true_Basal cell carcinoma_pred_Basal cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Basal cell carcinoma,cm_true_Dermatofibroma_pred_Basal cell carcinoma,cm_true_Melanocytic nevi_pred_Basal cell carcinoma,cm_true_Melanoma_pred_Basal cell carcinoma,cm_true_Squamous cell carcinoma_pred_Basal cell carcinoma,cm_true_Vascular lesions_pred_Basal cell carcinoma,cm_true_Actinic keratoses_pred_Benign keratosis-like lesions,cm_true_Basal cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Benign keratosis-like lesions_pred_Benign keratosis-like lesions,cm_true_Dermatofibroma_pred_Benign keratosis-like lesions,cm_true_Melanocytic nevi_pred_Benign keratosis-like lesions,cm_true_Melanoma_pred_Benign keratosis-like lesions,cm_true_Squamous cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Vascular lesions_pred_Benign keratosis-like lesions,cm_true_Actinic keratoses_pred_Dermatofibroma,cm_true_Basal cell carcinoma_pred_Dermatofibroma,cm_true_Benign keratosis-like lesions_pred_Dermatofibroma,cm_true_Dermatofibroma_pred_Dermatofibroma,cm_true_Melanocytic nevi_pred_Dermatofibroma,cm_true_Melanoma_pred_Dermatofibroma,cm_true_Squamous cell carcinoma_pred_Dermatofibroma,cm_true_Vascular lesions_pred_Dermatofibroma,cm_true_Actinic keratoses_pred_Melanocytic nevi,cm_true_Basal cell carcinoma_pred_Melanocytic nevi,cm_true_Benign keratosis-like lesions_pred_Melanocytic nevi,cm_true_Dermatofibroma_pred_Melanocytic nevi,cm_true_Melanocytic nevi_pred_Melanocytic nevi,cm_true_Melanoma_pred_Melanocytic nevi,cm_true_Squamous cell carcinoma_pred_Melanocytic nevi,cm_true_Vascular lesions_pred_Melanocytic nevi,cm_true_Actinic keratoses_pred_Melanoma,cm_true_Basal cell carcinoma_pred_Melanoma,cm_true_Benign keratosis-like lesions_pred_Melanoma,cm_true_Dermatofibroma_pred_Melanoma,cm_true_Melanocytic nevi_pred_Melanoma,cm_true_Melanoma_pred_Melanoma,cm_true_Squamous cell carcinoma_pred_Melanoma,cm_true_Vascular lesions_pred_Melanoma,cm_true_Actinic keratoses_pred_Squamous cell carcinoma,cm_true_Basal cell carcinoma_pred_Squamous cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Squamous cell carcinoma,cm_true_Dermatofibroma_pred_Squamous cell carcinoma,cm_true_Melanocytic nevi_pred_Squamous cell carcinoma,cm_true_Melanoma_pred_Squamous cell carcinoma,cm_true_Squamous cell carcinoma_pred_Squamous cell carcinoma,cm_true_Vascular lesions_pred_Squamous cell carcinoma,cm_true_Actinic keratoses_pred_Vascular lesions,cm_true_Basal cell carcinoma_pred_Vascular lesions,cm_true_Benign keratosis-like lesions_pred_Vascular lesions,cm_true_Dermatofibroma_pred_Vascular lesions,cm_true_Melanocytic nevi_pred_Vascular lesions,cm_true_Melanoma_pred_Vascular lesions,cm_true_Squamous cell carcinoma_pred_Vascular lesions,cm_true_Vascular lesions_pred_Vascular lesions
11,1.6704340747096746,0.4568157141447044,1.409965463757468,0.4994068801897983,44,107,85,10,123,67,26,0,22,124,46,5,87,30,14,4,0,21,31,2,60,35,3,1,0,1,0,2,0,0,0,0,6,35,46,2,845,117,8,1,13,36,47,1,145,199,9,1,1,0,2,0,1,0,0,0,0,8,5,1,26,4,2,18
12,1.6490704304797077,0.4666864080544862,1.3993680130214547,0.5069197311190193,30,59,37,2,34,20,10,0,15,93,37,4,74,19,8,3,3,19,35,1,53,21,4,0,0,6,1,3,20,1,0,1,7,43,45,2,838,112,8,0,16,57,76,3,199,249,15,1,15,39,20,7,23,22,14,0,0,16,11,1,46,8,3,20
13,1.626910826541184,0.4665877011153884,1.3981172784885996,0.4895215500197706,47,107,48,3,80,50,18,0,3,61,24,1,60,16,3,3,1,11,23,0,35,16,1,0,1,5,0,0,1,0,0,0,4,34,44,5,824,87,7,1,10,33,64,2,210,241,9,2,20,68,56,11,56,40,23,0,0,13,3,1,21,2,1,19
14,1.6149653002535904,0.4750271444082519,1.5954319806662696,0.4345591142744168,58,137,107,9,140,82,36,0,10,114,48,6,144,47,9,6,5,20,36,1,113,52,4,0,0,2,1,2,3,0,0,0,0,9,16,1,673,54,3,0,8,23,37,1,169,193,5,0,5,20,12,3,23,20,4,0,0,7,5,0,22,4,1,19
15,1.6133335363993158,0.4748790839996051,1.4761181122797569,0.4246737841043891,36,59,26,1,37,24,11,0,6,89,25,4,59,15,8,1,22,111,147,11,371,195,20,3,0,0,0,0,0,0,0,0,0,8,19,1,622,52,2,0,6,24,30,0,132,145,5,1,16,30,10,3,6,12,15,0,0,11,5,3,60,9,1,20
16,1.593743901075774,0.4826275787187839,1.3463621477969507,0.5156188216686437,23,27,15,1,16,5,5,0,24,172,55,8,129,46,9,3,6,40,73,5,124,75,12,0,0,0,0,1,0,0,0,0,1,14,29,2,765,71,5,0,14,35,64,1,210,229,9,1,18,34,21,4,11,20,20,0,0,10,5,1,32,6,2,21
17,1.5789006839863653,0.4920047379330767,1.3067329246661274,0.55001977066034,42,72,61,5,89,44,13,0,18,156,43,7,96,48,14,3,2,16,39,0,25,23,5,0,0,1,0,2,2,0,0,0,3,33,51,3,934,135,9,1,13,27,50,2,98,187,9,0,8,11,10,3,8,7,10,0,0,16,8,1,35,8,2,21
18,1.5689103624602083,0.4927943934458592,1.47596578307659,0.4812178726769474,23,27,19,0,11,10,7,0,30,212,79,16,162,65,28,2,6,21,49,2,76,58,5,0,0,1,0,0,2,0,0,0,3,15,30,3,703,72,4,0,18,30,65,0,197,203,10,0,6,6,7,0,5,8,4,0,0,20,13,2,131,36,4,23
19,1.5450380030983046,0.4926956865067614,1.3041675953395568,0.5365757216291024,48,90,55,5,49,34,22,0,9,118,33,5,76,20,10,4,7,29,64,1,111,67,9,0,0,3,2,2,3,0,0,0,3,35,44,2,899,114,4,1,10,26,44,1,113,194,5,0,9,25,17,7,15,20,12,0,0,6,3,0,21,3,0,20
20,1.5431600695135983,0.4982232750962392,1.3672660397370844,0.4895215500197706,21,45,14,0,9,5,6,0,5,59,10,2,17,2,1,3,24,95,120,7,193,85,19,0,0,8,3,2,6,1,1,0,0,12,16,2,710,54,2,0,24,70,87,4,321,287,16,0,12,36,9,6,11,12,17,0,0,7,3,0,20,6,0,22
21,1.5303818799291284,0.5008883624518804,1.328834688489076,0.5365757216291024,50,89,64,5,79,47,24,0,10,122,36,5,94,28,10,3,3,16,51,1,42,29,9,0,1,4,2,1,14,0,0,0,1,21,43,3,896,123,3,0,10,39,52,2,121,206,7,0,11,29,8,5,10,14,9,0,0,12,6,1,31,5,0,22
22,1.5247430351076774,0.5113512979962491,1.4275358439246013,0.4986160537761961,30,38,37,2,29,17,15,0,26,177,51,11,84,44,23,0,11,22,81,3,163,81,11,0,2,21,6,3,21,2,0,1,0,15,17,2,707,56,1,0,12,38,60,1,214,237,9,0,5,5,1,0,5,6,2,0,0,16,9,1,64,9,1,24
23,1.5008958345009749,0.5128319020827165,1.4262902805955102,0.4970344009489917,43,54,45,1,40,31,21,0,18,142,41,6,76,49,15,1,3,21,69,3,113,74,4,0,5,45,12,7,50,8,2,0,1,10,34,2,805,88,2,0,8,22,30,0,90,156,4,0,8,14,19,3,17,20,11,0,0,24,12,1,96,26,3,24
24,1.5045579978207966,0.5123383673872273,1.3809848856482878,0.5112692763938316,41,46,32,3,31,27,20,0,20,165,40,3,86,33,18,3,6,25,84,3,148,67,9,0,1,15,16,10,46,4,2,0,0,11,20,0,722,62,0,1,11,43,60,1,226,243,6,0,7,20,8,3,11,13,7,0,0,7,2,0,17,3,0,21
25,1.4799124369815664,0.5192972065936236,1.2512607695604794,0.5559509687623566,36,41,25,1,26,17,7,0,9,134,30,5,90,19,10,3,7,27,80,3,91,41,8,0,0,1,0,3,5,0,0,0,3,22,36,2,866,101,4,0,13,36,62,1,150,240,8,0,18,56,21,7,17,24,25,0,0,15,8,1,42,10,0,22
26,1.466656821464318,0.5224558286447537,1.291975160133419,0.5353894820086991,25,37,19,1,13,10,12,0,24,173,39,10,83,32,20,2,14,35,84,2,93,46,11,0,1,12,4,4,17,1,0,0,1,16,30,2,766,69,3,0,16,37,74,2,237,274,10,0,5,4,5,1,4,6,5,0,0,18,7,1,74,14,1,23
27,1.4696994331908857,0.5213700523146777,1.1623838357936729,0.5745353894820087,16,29,9,0,9,6,5,0,20,144,37,5,42,23,15,2,14,38,90,3,100,51,10,0,1,6,4,3,5,0,0,0,4,33,39,5,910,107,4,1,19,37,68,1,189,248,8,0,12,36,12,5,9,15,20,0,0,9,3,1,23,2,0,22
28,1.4510375111750935,0.524479320896259,1.2441107213332183,0.5377619612495057,22,26,17,1,17,11,6,0,27,158,35,7,58,30,19,3,17,59,105,6,152,77,13,0,0,6,10,2,3,2,2,0,1,15,24,2,791,66,1,1,14,30,59,1,236,251,10,0,5,17,5,1,4,10,10,0,0,21,7,3,26,5,1,21
