epoch,train_loss,val_loss
1,1.5149380146203961,1.4568335756382578
2,1.4017358487055505,1.3627787680199799
3,1.3361466628650183,1.2854759886407154
4,1.247922350254008,1.238842786937516
5,1.1807390821761385,1.1741740592339616
6,1.123627206272204,1.1313473562234566
7,1.0798471214952243,1.0893946159918255
8,1.0401099081183454,1.045530645802069
9,0.9955059772664568,1.0169758296569094
10,0.9644811635438175,0.9938767126493654
11,0.9351039900485908,0.9635245979138635
12,0.9024265204715229,0.9440974956823932
13,0.8894349591257353,0.9149837565073244
14,0.8628087309309107,0.8979232047281985
15,0.8290343508028747,0.8830419414926772
16,0.8220614649509115,0.8618476791738191
17,0.8040769045973751,0.8501112804718289
18,0.7839929535374591,0.8340006919659471
19,0.7655467491178849,0.8218621625029178
20,0.7516540534218493,0.8108300509873281
